X,Y,Z,N1,N2,N3,N4,N5,N6,N7,N8,W1,W2,W3,W4,W5,W6,W7,W8,W9,W0,F1,F2,Electricity,Start_Time,Phone_MAC,Phone_Brand,Phone_Android,Scan_Duration,Scan_Interval,Tx_Power,TRUE,t_cluster,t_sort,f_cluster,f_sort
210,30,0,-68,-70,-76,-82,-91,-76,-71,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:29,B4:0B:44:F3:74:66,smartisan,7.1.1,29625,0,0,21030,0,0,6,0
210,30,0,-68,-72,-75,-82,-90,-76,-71,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:29,B4:0B:44:F3:74:66,smartisan,7.1.1,29625,0,0,21030,0,0,6,0
210,30,0,-67,-74,-78,-83,-81,-76,-74,-80,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:29,B4:0B:44:F3:74:66,smartisan,7.1.1,29950,0,0,21030,0,0,6,0
210,30,0,-67,-72,-75,-90,-90,-76,-74,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:29,B4:0B:44:F3:74:66,smartisan,7.1.1,29950,0,0,21030,0,0,6,0
210,30,0,-67,-73,-75,-79,-95,-76,-73,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:30,B4:0B:44:F3:74:66,smartisan,7.1.1,29949,0,0,21030,0,0,6,0
210,30,0,-66,-79,-74,-78,-98,-77,-72,-68,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:30,B4:0B:44:F3:74:66,smartisan,7.1.1,29949,0,0,21030,0,0,8,1
210,30,0,-70,-78,-75,-85,-83,-77,-76,-81,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:30,B4:0B:44:F3:74:66,smartisan,7.1.1,29949,0,0,21030,0,0,6,0
210,30,0,-77,-76,-77,-86,-88,-82,-81,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29919,0,0,21030,0,0,2,4
210,30,0,-69,-77,-75,-84,-79,-83,-83,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29919,0,0,21030,0,0,4,2
210,30,0,-69,-87,-86,-81,-79,-81,-81,-67,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29919,0,0,21030,0,0,4,2
210,30,0,-71,-90,-86,-84,-88,-77,-81,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29919,0,0,21030,0,0,2,4
210,30,0,-70,-94,-77,-91,-89,-78,-85,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29919,0,0,21030,0,0,2,4
210,30,0,-70,-91,-76,-87,-89,-79,-81,-73,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29919,0,0,21030,0,0,2,4
210,30,0,-71,-82,-80,-85,-89,-76,-80,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29982,0,0,21030,0,0,2,4
210,30,0,-74,-82,-80,-86,-91,-76,-77,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29982,0,0,21030,0,0,2,4
210,30,0,-69,-81,-89,-84,-80,-76,-89,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29982,0,0,21030,0,0,4,2
210,30,0,-69,-82,-89,-77,-80,-76,-82,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29982,0,0,21030,0,0,4,2
210,30,0,-69,-82,-90,-82,-80,-83,-88,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29982,0,0,21030,0,0,4,2
210,30,0,-70,-79,-88,-82,-92,-83,-90,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29982,0,0,21030,0,0,0,5
210,30,0,-67,-82,-89,-82,-90,-82,-94,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:08,B4:0B:44:F3:74:66,smartisan,7.1.1,29982,0,0,21030,0,0,0,5
210,30,0,-74,-83,-83,-84,-94,-76,-80,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29979,0,0,21030,0,0,2,4
210,30,0,-71,-77,-77,-77,-79,-77,-83,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29979,0,0,21030,0,0,4,2
210,30,0,-74,-77,-83,-84,-90,-77,-81,-86,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29846,0,0,21030,0,0,2,4
210,30,0,-70,-78,-80,-86,-88,-77,-93,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29846,0,0,21030,0,0,0,5
210,30,0,-70,-78,-88,-77,-80,-82,-82,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29846,0,0,21030,0,0,4,2
210,30,0,-67,-82,-89,-83,-80,-76,-82,-84,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29846,0,0,21030,0,0,4,2
210,30,0,-72,-82,-90,-86,-90,-76,-81,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29846,0,0,21030,0,0,2,4
210,30,0,-72,-82,-82,-86,-94,-76,-82,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29846,0,0,21030,0,0,2,4
210,30,0,-72,-82,-80,-84,-92,-76,-91,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29846,0,0,21030,0,0,0,5
210,30,0,-70,-82,-82,-77,-94,-76,-91,-82,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:09,B4:0B:44:F3:74:66,smartisan,7.1.1,29846,0,0,21030,0,0,0,5
210,30,0,-72,-83,-79,-83,-93,-75,-81,-87,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:10,B4:0B:44:F3:74:66,smartisan,7.1.1,29932,0,0,21030,0,0,2,4
210,30,0,-68,-76,-78,-85,-90,-77,-81,-83,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:10,B4:0B:44:F3:74:66,smartisan,7.1.1,29932,0,0,21030,0,0,2,4
210,30,0,-75,-80,-84,-93,-92,-76,-83,-80,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2022/1/6 15:10,B4:0B:44:F3:74:66,smartisan,7.1.1,29932,0,0,21030,0,0,2,4
